County	All Total	All Added	All Deleted	Democrats Total	Democrats Added	Democrats Deleted	Democrats Changed Out	Democrats Changed In	Republicans Total	Republicans Added	Republicans Deleted	Republicans Changed Out	Republicans Changed In	No Party Total	No Party Added	No Party Deleted	No Party Changed Out	No Party Changed In	Third Party Total	Third Party Added	Third Party Deleted	Third Party Changed Out	Third Party Changed In	D to R Total	R to D Total	American Indians or Alaskan Natives Total	American Indians or Alaskan Natives Added	American Indians or Alaskan Natives Deleted	Asians Or Pacific Islanders Total	Asians Or Pacific Islanders Added	Asians Or Pacific Islanders Deleted	Blacks Total	Blacks Added	Blacks Deleted	Hispanics Total	Hispanics Added	Hispanics Deleted	Whites Total	Whites Added	Whites Deleted	Other Races Total	Other Races Added	Other Races Deleted	Men Total	Men Added	Men Deleted	Women Total	Women Added	Women Deleted	Black Women Total	Black Women Added	Black Women Deleted	Black Democrats Total	Black Democrats Added	Black Democrats Deleted	Black Republicans Total	Black Republicans Added	Black Republicans Deleted	Hispanic Democrats Total	Hispanic Democrats Added	Hispanic Democrats Deleted	Hispanic Republicans Total	Hispanic Republicans Added	Hispanic Republicans Deleted	Under 30 Total	Under 30 Added	Under 30 Deleted	30 to 39 Total	30 to 39 Added	30 to 39 Deleted	40 to 49 Total	40 to 49 Added	40 to 49 Deleted	50 to 59 Total	50 to 59 Added	50 to 59 Deleted	60 to 69 Total	60 to 69 Added	60 to 69 Deleted	70 and over Total	70 and over Added	70 and over Deleted	Under 30 Republicans Total	Under 30 Republicans Added	Under 30 Republicans Deleted	Under 30 Democrats Total	Under 30 Democrats Added	Under 30 Democrats Deleted	White Democrats Total	White Democrats Added	White Democrats Deleted	White Republicans Total	White Republicans Added	White Republicans Deleted	AoPI Democrats Total	AoPI Democrats Added	AoPI Democrats Deleted	AoPI Republicans Total	AoPI Republicans Added	AoPI Republicans Deleted	American’s Party of Florida Total	American’s Party of Florida Added	American’s Party of Florida Deleted	American’s Party of Florida Changed Out	American’s Party of Florida Changed In	Constitution Party of Florida Total	Constitution Party of Florida Added	Constitution Party of Florida Deleted	Constitution Party of Florida Changed Out	Constitution Party of Florida Changed In	Ecology Party of Florida Total	Ecology Party of Florida Added	Ecology Party of Florida Deleted	Ecology Party of Florida Changed Out	Ecology Party of Florida Changed In	Green Party of Florida Total	Green Party of Florida Added	Green Party of Florida Deleted	Green Party of Florida Changed Out	Green Party of Florida Changed In	Independence Party of Florida Total	Independence Party of Florida Added	Independence Party of Florida Deleted	Independence Party of Florida Changed Out	Independence Party of Florida Changed In	Independent Party of Florida Total	Independent Party of Florida Added	Independent Party of Florida Deleted	Independent Party of Florida Changed Out	Independent Party of Florida Changed In	Libertarian Party of Florida Total	Libertarian Party of Florida Added	Libertarian Party of Florida Deleted	Libertarian Party of Florida Changed Out	Libertarian Party of Florida Changed In	Party for Socialism and Liberation Florida Total	Party for Socialism and Liberation Florida Added	Party for Socialism and Liberation Florida Deleted	Party for Socialism and Liberation Florida Changed Out	Party for Socialism and Liberation Florida Changed In	Reform Party Total	Reform Party Added	Reform Party Deleted	Reform Party Changed Out	Reform Party Changed In
Desoto	16358	108	60	7609	35	23	4	46	5168	40	19	40	9	3330	32	17	14	3	251	1	1	1	1	3	37	48	0	0	86	0	0	1690	12	7	1555	17	4	12727	78	48	252	1	1	7421	46	30	8881	60	29	1009	9	2	1452	9	3	44	1	1	710	8	2	196	4	1	2670	34	10	2069	14	8	2011	19	9	2726	8	6	2975	22	4	3891	10	23	635	11	5	1064	16	2	5290	17	18	4829	35	17	29	0	0	24	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	26	0	0	0	0	211	1	1	1	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Dixie	10056	58	49	5106	12	16	10	2	3424	30	20	1	13	1283	14	12	5	0	243	2	1	0	1	10	0	47	1	1	30	0	0	452	5	0	104	1	0	9275	50	48	148	1	0	4751	28	18	5172	26	31	267	3	0	408	3	0	17	1	0	34	0	0	37	1	0	1311	36	6	1294	6	5	1264	5	7	1956	4	10	2089	2	8	2129	2	13	441	16	4	546	9	1	4592	9	15	3302	28	20	14	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	33	0	0	0	0	196	2	1	0	1	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Duval	620989	3248	2618	257068	1127	846	401	173	226491	917	1090	108	504	118626	1090	573	301	125	18804	114	109	53	61	321	39	2391	15	11	18493	72	56	174597	809	426	28314	281	140	373088	1776	1903	24106	295	82	276543	1392	1218	332464	1552	1361	102374	386	232	143470	528	337	6290	19	16	10606	120	51	7490	33	39	129180	1615	526	114455	549	571	101760	377	387	112670	365	385	89770	211	300	70341	126	439	37661	377	185	49865	580	158	89409	375	417	199931	804	988	4427	22	11	6787	16	21	90	2	0	1	0	47	0	0	0	1	22	0	0	0	0	283	1	0	0	2	2322	9	10	10	3	14161	88	91	41	37	1793	13	8	2	19	6	0	0	0	0	80	1	0	0	0
Escambia	220852	1069	625	76563	298	183	68	51	97723	425	288	54	98	40778	316	136	73	42	5788	30	18	16	20	51	17	1527	7	3	4993	26	13	43386	159	75	4494	41	15	158945	784	502	7507	52	17	102077	490	301	116481	548	315	25437	79	36	35329	114	56	1846	4	5	1381	14	6	1614	12	4	44526	507	146	36600	153	84	32774	145	62	38849	126	85	34810	93	95	32419	45	152	17002	180	58	13614	153	31	36363	143	113	88662	386	267	1008	10	4	2242	5	3	22	0	0	0	0	47	0	0	2	2	5	0	0	0	0	113	0	0	2	0	572	0	0	2	0	4440	25	14	10	13	559	5	3	1	6	2	0	1	0	0	28	0	0	0	0
Flagler	83080	599	277	26985	167	94	38	18	31816	221	102	17	110	22229	185	73	91	25	2050	26	8	9	2	30	2	253	0	1	1311	11	0	7787	53	31	4634	39	8	65609	459	230	3486	37	7	38391	279	133	43797	298	143	4311	26	9	5992	34	24	325	1	1	2040	17	5	1063	8	1	11300	175	38	9381	67	27	10452	63	28	13620	110	40	17404	124	42	20414	57	99	2913	49	11	3293	49	13	17316	102	63	29104	203	99	329	3	0	446	3	0	5	0	0	0	0	6	0	0	0	0	2	0	0	0	0	39	0	0	0	0	309	3	0	0	0	1486	21	6	9	0	185	2	2	1	3	2	0	0	0	0	16	0	0	0	0
Franklin	7855	68	33	4530	22	15	11	2	2324	24	9	2	11	848	21	9	0	0	153	1	0	0	0	11	2	22	0	0	19	0	0	563	3	1	53	3	0	7162	61	32	36	1	0	3732	40	16	4119	28	17	324	1	0	525	2	1	11	0	0	30	2	0	13	0	0	961	28	2	838	6	6	933	8	1	1475	10	3	1841	13	12	1797	2	9	257	5	0	491	15	1	3945	17	14	2278	24	9	13	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	33	0	0	0	0	108	1	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gadsden	30430	226	111	23078	126	69	8	12	4580	64	22	8	6	2437	31	17	7	6	335	5	3	1	0	5	5	90	0	1	89	1	0	17249	93	50	732	8	4	11470	117	52	800	7	4	12778	95	46	17162	126	61	10317	55	29	16173	78	40	255	2	1	440	4	1	101	2	2	5511	96	18	4646	40	19	4532	36	14	5591	24	17	5448	21	16	4654	9	27	651	21	3	4049	54	9	5917	39	25	4086	59	19	33	0	0	24	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	36	1	0	0	0	269	2	3	0	0	21	1	0	0	0	0	0	0	0	0	2	0	0	1	0
Gilchrist	11486	59	44	3754	13	13	2	3	5944	35	25	2	3	1468	9	4	4	2	320	2	2	0	0	1	1	38	1	0	43	0	0	264	2	0	179	2	1	10834	54	43	128	0	0	5447	27	20	5994	32	24	153	2	0	220	2	0	16	0	0	61	1	0	71	1	0	1905	20	7	1526	10	5	1700	8	4	2233	9	5	2123	6	6	1941	6	17	1002	13	4	402	3	1	3407	9	13	5781	34	25	14	0	0	18	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	88	0	1	0	0	188	2	1	0	0	32	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Glades	7243	50	28	3515	17	13	6	1	2403	24	7	2	4	1141	9	6	1	3	184	0	2	0	1	4	1	203	2	1	22	0	0	451	1	0	585	8	3	5896	37	24	86	2	0	3524	24	12	3703	25	16	263	0	0	411	1	0	10	0	0	292	4	2	127	3	1	891	23	4	825	3	5	868	2	1	1180	5	2	1410	10	6	2063	7	10	246	10	0	360	9	2	2632	8	11	2207	21	6	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	115	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gulf	10149	63	37	4610	17	20	23	2	4313	36	12	4	24	1043	9	5	3	2	183	1	0	0	2	22	1	42	0	0	33	0	0	980	6	3	82	0	0	8902	57	34	110	0	0	4802	36	18	5291	26	19	536	2	2	881	4	2	38	1	0	35	0	0	30	0	0	1584	17	8	1157	6	3	1390	6	3	1933	13	4	2073	15	10	1994	6	9	641	7	2	578	4	4	3626	13	18	4180	35	12	11	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	33	1	0	0	0	129	0	0	0	1	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Hamilton	8279	66	28	4981	30	13	6	4	2268	22	12	1	6	863	14	3	3	2	167	0	0	2	0	5	0	15	1	0	36	0	0	2428	21	4	174	3	0	5561	35	24	65	6	0	3830	28	13	4421	37	15	1395	7	0	2181	18	3	85	1	1	71	2	0	50	0	0	1450	47	5	1183	1	2	1291	7	3	1496	4	2	1508	5	6	1338	0	10	444	13	2	748	23	2	2693	7	10	2093	18	11	5	0	0	17	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	114	0	0	1	0	8	0	0	0	0	0	0	0	0	0	2	0	0	1	0
Hardee	12980	58	46	5519	14	28	10	0	5321	21	13	1	14	1877	22	3	5	1	263	1	2	0	1	9	0	32	0	0	122	1	1	856	6	1	2488	18	3	9135	30	38	347	3	3	5782	31	18	7028	26	28	483	3	0	708	4	1	47	0	0	1225	5	2	616	6	1	2247	22	8	2155	7	8	1981	9	4	2078	7	3	2044	10	6	2453	3	17	880	6	3	732	4	4	3383	5	24	4513	15	11	57	0	1	27	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	124	1	0	0	1	17	0	1	0	0	0	0	0	0	0	2	0	1	0	0
Hendry	19088	116	64	9043	50	26	5	12	6519	31	21	2	9	3169	32	15	15	2	357	3	2	2	1	4	1	255	1	0	117	1	0	2703	16	4	4884	49	15	10622	45	42	507	4	3	8631	52	28	10281	62	34	1586	9	2	2385	14	4	82	0	0	2231	25	1	1368	11	7	3965	55	19	3061	15	7	2890	18	5	3313	10	9	2943	8	8	2890	10	16	1159	13	7	1598	24	3	3980	9	21	4883	20	13	56	0	0	30	0	0	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	173	0	2	2	0	158	3	0	0	1	17	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Hernando	136555	877	557	46130	238	193	71	34	54506	345	222	52	89	30864	255	122	53	48	5055	39	20	16	21	46	16	533	4	2	1129	14	3	5814	44	14	10557	110	33	114753	664	482	3769	41	23	62336	409	258	72392	417	290	3210	24	9	4595	22	11	294	8	0	5202	45	19	2327	27	6	19825	307	67	15328	100	41	17950	99	60	23220	131	66	25494	136	91	33919	104	232	5990	107	14	5985	77	25	34692	146	155	50544	295	209	364	5	0	346	5	1	13	0	0	0	0	19	0	0	0	1	3	0	0	0	0	64	0	1	0	0	746	3	2	4	3	3909	32	15	13	13	271	4	2	0	5	3	0	0	0	0	27	0	0	0	0
Highlands	67736	501	205	23168	141	89	46	9	29676	190	87	17	58	12912	159	23	33	27	1980	11	6	2	4	32	2	262	1	1	680	3	1	5559	31	11	7267	86	18	52609	364	172	1359	16	2	30690	222	100	36583	269	105	3204	16	7	4490	27	9	274	1	1	3163	37	11	1718	16	4	9086	148	31	7057	44	13	7138	45	9	10068	66	19	12784	112	29	21492	86	103	3029	48	11	2939	40	13	14775	71	67	26975	169	80	162	1	1	244	1	0	2	0	0	0	0	7	1	0	0	1	1	0	0	0	0	14	0	0	0	0	407	1	2	0	0	1458	7	4	2	2	77	2	0	0	1	0	0	0	0	0	14	0	0	0	0
Hillsborough	864695	6731	2907	339913	2379	1243	333	528	273831	1611	1116	248	341	225960	2564	489	644	330	24991	177	59	73	99	130	92	2729	20	6	22065	192	49	134934	1074	388	140660	1483	388	523022	3413	1977	41285	549	99	389154	2973	1330	453052	3352	1510	76936	575	195	104495	742	311	5082	35	15	61249	648	203	26568	173	78	179561	2974	637	154148	1252	500	149243	911	401	152867	774	423	120323	503	358	106332	311	585	41729	628	224	66889	1030	265	152082	758	668	229173	1302	974	6591	74	18	5220	29	13	70	2	0	0	0	73	1	2	1	4	31	0	0	0	1	475	1	0	3	5	3240	13	8	17	4	19011	143	43	52	68	1957	16	6	9	26	17	1	0	0	1	117	0	0	1	0
Holmes	11749	65	34	4840	12	13	74	1	5545	41	17	1	81	1231	11	4	10	2	133	1	0	0	1	72	0	77	0	1	41	0	0	238	2	1	75	2	0	11190	60	32	128	1	0	5451	32	21	6239	31	13	126	0	0	171	2	1	26	0	0	35	1	0	26	0	0	1982	30	6	1596	7	4	1793	6	3	2149	13	5	2008	6	6	2121	3	10	1059	20	3	489	4	1	4553	9	11	5389	41	17	19	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	14	1	0	0	0	104	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indian River	108844	756	323	30190	191	81	25	31	50095	269	153	29	52	25050	260	74	60	28	3509	36	15	10	13	14	10	291	2	2	888	18	2	7129	38	9	4862	46	9	92547	635	296	3127	17	5	48941	358	163	58126	390	155	4185	19	4	5597	26	8	365	2	0	1872	22	1	1099	5	3	14727	195	37	11030	83	23	12090	74	20	18096	121	37	22235	177	53	30365	106	153	4664	54	14	4251	61	6	21523	133	71	47355	250	146	213	4	0	318	5	1	4	0	0	0	0	7	0	0	0	0	1	0	0	0	0	40	0	0	2	0	496	11	1	3	1	2757	22	14	6	9	185	3	0	0	4	0	0	0	0	0	19	0	0	0	0
Jackson	30344	93	83	16649	25	39	16	20	10343	54	37	18	18	2991	14	6	7	4	361	0	1	2	1	14	15	153	0	1	94	0	1	6830	10	15	341	1	1	22245	82	62	681	0	3	13643	49	45	16204	40	38	3925	6	6	6140	10	13	218	0	1	123	0	0	127	1	1	5515	31	22	4269	15	9	4465	12	7	5257	13	10	5247	14	6	5442	6	29	2161	21	10	2314	8	10	9985	15	22	9734	53	35	35	0	1	33	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	45	0	0	2	0	272	0	1	0	0	27	0	0	0	1	0	0	0	0	0	2	0	0	0	0
Jefferson	9690	69	37	5949	29	19	6	2	2712	27	12	3	7	846	11	4	1	2	183	2	2	1	0	6	2	18	0	0	27	0	0	3098	18	7	84	3	0	6365	48	29	98	0	1	4374	30	15	5284	37	22	1819	10	2	2954	17	6	28	0	0	38	3	0	31	0	0	1422	28	2	1270	10	7	1316	9	4	1868	10	7	1995	10	10	1709	2	7	335	8	0	823	15	2	2887	9	12	2621	27	12	13	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	40	0	0	0	0	128	2	2	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
